id_venda,data_venda,id_loja,id_produto,id_vendedor,quantidade,valor_unitario,desconto
106,2023-10-27,13,123,32,1,449.0,0
107,2024-05-27,2,112,6,1,79.9,5
108,2023-12-26,15,140,38,4,249.0,10
109,2023-09-23,2,111,5,1,149.9,10
110,2023-12-11,12,125,30,2,2199.0,0
111,2024-06-03,8,102,19,1,869.7,0
112,2023-09-13,15,148,37,2,139.0,10
113,2024-04-07,5,146,12,1,89.9,0
114,2023-10-30,13,121,33,1,1499.0,15
115,2024-06-19,11,123,28,1,449.0,30
116,2024-08-17,12,138,31,1,2199.0,5
117,2023-12-29,11,121,27,1,1499.0,0
118,2023-10-24,7,999,16,2,199.0,0
119,2023-09-11,5,103,11,2,2899.0,15
120,2024-01-20,15,136,,2,1399.0,15
121,2024-08-18,6,140,14,2,249.0,25
122,2024-07-20,4,149,9,2,229.0,5
123,2024-05-07,7,125,17,3,2199.0,5
124,2024-06-26,6,104,15,2,3299.0,0
125,2023-12-24,9,144,21,1,265.74,20
126,2023-12-17,12,111,29,1,149.9,10
127,2023-11-07,11,148,27,4,139.0,5
128,2024-07-21,12,122,30,4,149.31,0
129,2023-12-12,8,101,20,2,1899.0,20
130,2023-12-16,10,129,26,1,2701.34,0
131,2023-11-13,13,125,33,4,2199.0,0
132,2023-09-09,14,116,36,1,1799.0,0
133,2023-12-01,14,127,35,1,2599.0,5
134,2024-01-12,10,114,99,1,4899.0,10
135,2024-07-08,11,120,27,4,999.0,10
136,2024-06-30,8,138,19,2,2199.0,0
137,2024-02-29,8,147,19,3,199.0,0
138,2024-05-22,1,132,3,1,899.0,15
139,2023-11-30,13,115,34,2,2899.0,15
140,2023-12-09,3,102,7,2,999.0,0
141,2024-04-10,13,110,33,4,6999.0,15
142,2024-07-22,13,146,33,2,89.9,0
143,2023-09-05,14,141,35,1,499.0,5
144,2023-10-13,7,137,16,2,1799.0,25
145,2023-12-20,1,127,3,1,2599.0,5
146,2024-06-24,6,122,15,3,159.9,15
147,2024-06-05,9,129,21,2,2899.0,0
148,2024-05-02,14,103,36,1,2899.0,0
149,2023-12-11,9,134,21,1,199.0,0
150,2023-11-10,9,127,23,3,2599.0,10
151,2024-02-20,6,144,13,1,299.0,5
152,2023-11-12,10,133,25,1,1199.0,0
153,2024-04-13,10,116,24,1,1799.0,10
154,2024-01-15,6,137,13,1,1799.0,0
155,2023-12-07,10,122,25,1,159.9,5
156,2024-05-22,11,150,27,4,129.0,0
157,2023-10-22,6,145,13,1,159.0,0
158,2023-12-30,10,112,24,2,79.9,5
159,2024-05-18,11,114,28,3,4899.0,0
160,2024-03-15,14,135,36,3,1099.0,0
161,2024-05-01,10,105,26,1,5499.0,10
162,2024-05-11,5,143,11,1,399.0,
163,2024-01-23,12,103,29,1,2899.0,0
164,2024-04-19,9,147,23,3,199.0,0
165,2024-01-31,13,105,34,1,5499.0,0
166,2023-11-28,5,136,11,2,1399.0,0
167,2024-02-03,1,106,3,2,59.9,20
168,2024-05-15,1,130,3,1,699.0,0
169,2023-10-11,9,133,23,2,1199.0,5
170,2023-12-26,4,136,9,5,1399.0,0
171,2024-01-14,8,120,20,1,999.0,0
172,2024-01-06,4,130,9,1,699.0,15
173,2024-08-17,99,109,10,3,2299.0,20
174,2024-01-24,9,118,21,3,199.9,0
175,2024-02-27,10,115,25,1,2899.0,15
176,2024-03-12,12,140,30,1,249.0,0
177,2024-08-13,2,145,4,1,159.0,15
178,2023-10-30,12,136,29,2,1399.0,0
179,2024-08-14,10,150,25,2,129.0,25
180,2023-09-13,12,145,30,1,159.0,10
181,2023-11-16,13,138,32,2,2199.0,15
182,2023-11-21,2,127,6,1,2599.0,5
183,2023-12-27,1,137,40,3,1799.0,5
184,2024-07-29,10,137,25,3,1799.0,0
185,2023-12-16,1,117,2,1,2299.0,10
186,2023-12-05,10,113,26,1,3499.0,20
187,2024-08-10,12,120,30,1,999.0,0
188,2024-03-24,3,117,7,2,2299.0,0
189,2024-08-04,4,149,9,2,209.51,20
190,2024-03-19,4,129,10,3,2504.43,20
191,2024-05-29,14,119,36,1,599.0,20
192,2024-05-10,5,136,11,4,1399.0,0
193,2023-09-29,5,121,12,1,1499.0,5
194,2024-06-16,8,133,20,3,1199.0,0
195,2023-12-25,2,122,5,3,159.9,15
196,2024-06-19,15,124,38,2,113.96,10
197,2023-10-14,13,144,33,2,299.0,5
198,2024-03-11,15,103,38,1,2899.0,0
199,2024-06-22,8,116,19,2,1799.0,5
200,2024-07-09,12,117,30,3,2052.43,0
201,2023-09-17,11,122,27,3,159.9,0
202,2023-09-22,15,117,39,2,2299.0,0
203,2023-12-08,7,107,16,1,299.0,5
204,2023-12-01,2,131,6,1,449.0,0
205,2023-11-01,6,108,15,1,1499.0,0
206,2024-08-02,14,122,35,5,159.9,0
207,2024-05-02,6,119,14,2,599.0,0
208,2023-11-26,14,121,35,1,1499.0,0
209,2023-10-22,12,139,30,1,599.0,5
210,2024-05-18,3,133,7,4,1199.0,0
211,2024-03-15,6,124,15,1,129.9,15
212,2024-07-24,15,125,37,3,2199.0,20
213,2023-10-22,9,143,21,3,399.0,5
214,2023-11-08,5,106,12,1,59.9,25
215,2023-12-27,7,135,16,2,1099.0,0
216,2023-09-04,12,108,31,3,1499.0,15
217,2024-08-12,12,109,29,4,2299.0,0
218,2024-03-12,2,122,6,4,159.9,5
219,2024-03-27,3,101,8,2,1654.55,0
220,2024-04-26,5,102,12,1,999.0,
221,2024-08-19,4,139,9,1,562.15,5
222,2024-01-24,13,146,34,2,89.9,15
223,2024-03-14,1,113,2,1,3499.0,0
224,2023-11-24,13,143,32,1,399.0,10
225,2024-06-13,7,115,16,2,2899.0,0
226,2024-07-30,6,130,15,2,699.0,5
227,2024-02-14,8,134,20,2,178.47,0
228,2024-07-22,4,138,10,1,2199.0,0
229,2023-11-21,15,103,37,3,2899.0,0
230,2024-05-05,4,105,9,1,5499.0,25
231,2023-12-21,5,140,11,4,249.0,0
232,2024-01-21,15,102,38,1,999.0,0
233,2023-12-14,6,138,13,1,2199.0,0
234,2023-10-13,8,124,20,1,115.93,5
235,2023-09-19,4,126,9,1,2999.0,5
236,2023-12-17,15,102,39,4,999.0,0
237,2023-11-18,5,142,12,1,449.0,0
238,2023-11-13,1,134,40,1,199.0,0
239,2024-02-13,2,126,5,1,2999.0,20
240,2024-04-29,11,122,27,3,159.9,0
241,2023-12-25,6,113,13,1,3499.0,15
242,2023-12-04,7,140,17,2,249.0,25
243,2024-07-27,10,132,25,2,899.0,30
244,2023-11-27,15,121,38,4,1499.0,0
245,2024-01-28,6,123,15,2,449.0,10
246,2024-05-03,2,137,5,1,1799.0,5
247,2023-12-08,14,111,36,1,149.9,5
248,2024-05-29,13,109,32,1,2299.0,5
249,2024-08-18,2,129,5,3,2899.0,0
250,2024-05-14,5,138,12,1,2199.0,10
251,2023-11-16,7,146,16,2,89.9,15
252,2024-03-18,4,144,10,1,299.0,15
253,2024-07-20,15,126,37,2,2999.0,10
254,2024-02-08,10,108,24,2,1499.0,20
255,2024-07-04,15,141,37,3,499.0,15
256,2023-11-05,14,107,35,4,299.0,20
257,2024-07-28,2,120,5,1,999.0,0
258,2023-11-27,15,142,39,4,449.0,0
259,2024-06-06,12,150,31,2,129.0,0
260,2024-07-08,15,140,37,2,249.0,0
261,2023-12-12,9,145,22,1,159.0,0
262,2023-12-29,13,135,99,1,1099.0,5
263,2023-11-09,9,124,21,1,129.9,0
264,2023-12-19,13,103,34,2,2899.0,0
265,2024-04-28,13,131,32,1,449.0,10
266,2023-10-22,7,144,17,2,299.0,25
267,2023-10-19,12,117,31,1,2299.0,0
268,2024-08-28,15,107,38,1,299.0,10
269,2023-10-14,4,132,9,1,899.0,5
270,2023-12-13,15,106,38,3,54.26,25
271,2024-03-13,10,143,26,1,399.0,15
272,2024-03-18,14,118,35,2,199.9,30
273,2023-10-05,12,121,31,2,1499.0,0
274,2024-07-21,2,150,6,2,129.0,5
275,2023-09-10,12,110,31,1,6999.0,5
276,2023-11-10,8,150,18,2,129.0,15
277,2024-06-12,12,132,30,1,899.0,0
278,2023-11-26,13,111,33,2,149.9,0
279,2023-11-10,12,120,29,1,999.0,5
280,2023-12-30,11,101,27,1,1633.88,5
281,2023-11-11,9,123,21,1,449.0,20
282,2023-12-17,14,143,36,3,373.76,10
283,2024-06-07,10,131,26,2,449.0,0
284,2024-05-05,7,134,16,2,199.0,15
285,2023-11-30,2,102,6,2,999.0,5
286,2024-06-24,9,144,22,2,299.0,10
287,2024-02-26,12,148,29,2,139.0,0
288,2024-05-26,11,102,27,1,999.0,0
289,2024-03-30,11,145,27,2,159.0,0
290,2024-07-13, 3 ,107,7,2,299.0,0
291,2023-10-21,1,126,40,1,2999.0,
292,2024-03-26,4,113,9,1,2979.24,15
293,2023-11-17,8,103,18,1,2899.0,10
294,2023-12-12,4,107,10,1,273.34,0
295,2024-05-21,8,102,18,2,999.0,5
296,2023-12-26,4,109,9,3,2299.0,5
297,2024-08-15,9,118,21,1,199.9,5
298,2024-08-19,11,149,28,1,229.0,20
299,2023-12-05,15,135,39,1,1099.0,0
300,2024-07-09,15,119,37,1,599.0,0
301,2024-08-09,2,143,4,4,399.0,10
302,2023-10-16,14,123,36,1,449.0,5
303,2023-11-02,12,140,29,1,249.0,0
304,2024-02-22,8,127,18,1,2599.0,0
305,2023-10-11,11,143,27,2,399.0,25
306,2023-12-01,2,133,6,1,1199.0,0
307,2023-09-02,11,111,27,1,149.9,30
308,2023-09-22,2,104,4,3,3299.0,15
309,2024-04-04,6,116,14,2,1799.0,0
310,2023-11-06,12,109,31,1,2299.0,20
311,2023-11-04,14,149,35,3,229.0,0
312,2024-08-31,2,110,6,1,6999.0,20
313,2024-08-28,2,131,5,2,414.17,10
314,2023-12-09,2,107,5,2,282.0,0
315,2023-10-08,5,125,12,3,2199.0,0
316,2024-06-25,7,144,16,1,274.66,0
317,2024-02-03,2,121,6,1,1499.0,25
318,2023-10-13,1,110,40,1,6494.03,0
319,2023-09-02,7,118,17,2,199.9,0
320,2024-07-08,3,122,8,2,159.9,0
321,2024-03-23,12,120,30,2,999.0,0
322,2023-11-15,6,117,13,1,2299.0,0
323,2024-04-28,3,106,8,5,59.9,0
324,2023-12-08,8,106,19,2,59.9,25
325,2023-10-04,2,148,6,1,139.0,0
326,2024-05-17,13,103,32,1,2899.0,0
327,2023-10-06,4,122,9,1,159.9,5
328,2024-05-04,1,110,1,1,6999.0,0
329,2024-03-29,5,149,11,1,229.0,0
330,2023-11-07,11,120,27,2,999.0,10
331,2023-11-13,4,138,10,3,2199.0,20
332,2024-07-31,5,141,12,1,499.0,5
333,2023-11-02,9,138,23,2,2199.0,0
334,2023-10-06,6,137,14,2,1799.0,5
335,2024-04-02,15,125,39,1,2199.0,20
336,2024-06-09,12,109,31,1,2299.0,20
337,2023-09-23,1,149,3,2,229.0,0
338,2023-09-24,13,126,34,3,2809.87,5
339,2024-05-08,2,123,5,1,449.0,10
340,2024-06-26,7,144,16,1,299.0,25
341,2024-06-24,99,126,8,3,2999.0,10
342,2023-09-05,2,147,5,3,199.0,5
343,2023-09-13,7,121,17,2,1499.0,0
344,2024-03-18,1,131,2,3,449.0,10
345,2024-02-04,7,101,17,4,1899.0,0
346,2023-12-29,2,109,6,1,2299.0,0
347,2024-02-10,3,117,7,2,2299.0,20
348,2024-05-25,15,108,38,1,1499.0,15
349,2024-03-02,9,113,22,2,3204.47,5
350,2023-12-17,7,143,16,1,399.0,25
351,2024-08-26,15,103,38,2,2899.0,10
352,2023-12-30,10,143,24,4,399.0,10
353,2024-03-17,2,118,4,1,170.68,0
354,2024-07-15,3,127,7,1,2599.0,0
355,2024-08-09,11,137,28,3,1799.0,20
356,2024-01-03,11,134,28,4,199.0,5
357,2024-07-04,12,145,29,1,159.0,0
358,2024-05-26,9,148,23,2,139.0,0
359,2024-06-10,15,134,39,2,199.0,0
360,2023-11-10,5,115,11,4,2899.0,15
361,2023-11-27,9,149,23,1,229.0,5
362,2023-11-22,6,143,15,2,399.0,15
363,2024-07-29,9,104,23,1,3299.0,25
364,2023-10-24,9,109,23,3,2299.0,30
365,2023-10-25,6,116,14,3,1799.0,5
366,2024-07-29,10,132,24,2,899.0,0
367,2024-06-26,11,132,28,3,899.0,5
368,2024-05-26,14,140,36,3,249.0,5
369,2023-09-05,6,120,13,1,999.0,25
370,2024-07-01,11,141,28,2,499.0,0
371,2023-12-31,10,147,25,3,179.05,10
372,2024-05-18,4,138,10,3,2199.0,5
373,2024-05-23,15,121,39,1,1499.0,0
374,2023-12-06,1,131,1,1,449.0,15
375,2024-07-14,10,108,24,4,1499.0,5
376,2024-05-08,13,130,34,1,699.0,5
377,2024-02-27,10,137,26,3,1799.0,5
378,2024-08-23,15,124,37,1,129.9,0
379,2023-11-15,10,131,26,1,449.0,0
380,2024-01-05,12,109,29,1,2299.0,5
381,2024-02-28,7,134,16,1,199.0,0
382,2023-09-06,4,135,9,2,1099.0,5
383,2024-05-02,9,113,22,3,3499.0,25
384,2023-10-03,12,129,29,3,2899.0,0
385,2023-10-15,8,105,20,1,5499.0,
386,2024-08-28,6,114,14,1,4899.0,5
387,2024-08-30,15,108,37,1,1499.0,25
388,2024-05-23,9,112,22,3,79.9,0
389,2024-06-14,13,145,32,1,159.0,15
390,2024-03-12,10,135,24,1,1099.0,0
391,2023-11-28,5,142,11,1,385.96,25
392,2024-03-17,6,132,14,1,803.86,0
393,2023-12-05,14,112,36,1,79.9,10
394,2023-12-11,4,101,9,2,1899.0,10
395,2023-11-03,2,135,4,1,1099.0,0
396,2023-09-04,6,108,14,1,1499.0,25
397,2024-08-09,13,106,33,2,59.9,0
398,2024-07-11,9,111,23,3,141.24,10
399,2023-11-17,14,134,35,1,199.0,0
400,2023-09-27,7,142,16,3,449.0,20
401,2023-11-18,12,142,30,1,449.0,0
402,2024-04-21,5,124,12,4,129.9,0
403,2023-09-20,10,119,25,1,599.0,25
404,2023-09-13,6,130,14,1,699.0,5
405,2024-02-04,15,139,37,3,599.0,25
406,2024-08-29,15,129,38,3,2638.41,5
407,2024-06-12,9,147,23,1,199.0,5
408,2024-04-22,2,143,4,2,399.0,0
409,2024-02-13,1,122,1,2,159.9,0
410,2024-05-20,3,144,7,2,299.0,5
411,2024-01-02,8,149,19,2,229.0,0
412,2024-01-30,2,145,6,1,159.0,15
413,2023-09-29,13,115,34,3,2899.0,0
414,2024-03-15,13,113,32,2,3499.0,0
415,2023-12-27,10,131,26,1,449.0,5
416,2024-05-18,8,140,20,1,249.0,0
417,2024-08-21,11,126,27,2,2611.31,0
418,2024-05-22,5,105,12,1,4829.78,5
419,2024-07-25,4,102,10,3,999.0,5
420,2024-03-30,8,141,18,1,499.0,25
421,2023-11-22,5,104,11,2,3299.0,15
422,2024-03-23,15,141,39,1,499.0,10
423,2024-08-08,9,140,22,1,249.0,5
424,2024-08-21,99,109,36,1,2299.0,10
425,2024-06-05,6,144,14,1,299.0,0
426,2023-12-17,11,137,27,1,1799.0,25
427,2024-06-10,1,132,1,1,899.0,25
428,2024-04-27,7,110,17,2,6999.0,20
429,2023-11-07,4,136,10,3,1399.0,15
430,2024-02-26,1,135,3,1,1099.0,10
431,2024-05-29,2,122,4,2,159.9,10
432,12-03-2023,5,135,12,2,1099.0,30
433,2024-07-23,13,104,33,1,3299.0,0
434,2023-12-07,7,131,16,2,449.0,10
435,2024-03-27,11,118,28,1,199.9,5
436,2024-07-20,10,113,24,3,3311.23,0
437,2023-10-02,3,101,8,3,1899.0,0
438,2024-02-03,15,128,37,1,1799.0,25
439,2024-04-11,1,109,2,2,2013.18,15
440,2024-03-10,15,137,37,5,1799.0,10
441,2023-09-22,5,133,12,1,1199.0,20
442,2024-06-03,8,148,18,1,129.26,25
443,2023-11-03,6,123,14,2,449.0,10
444,2024-07-23,6,140,14,2,249.0,
445,2024-06-04,3,110,7,1,6999.0,0
446,2024-03-01,5,119,11,1,599.0,0
447,2024-08-11,15,140,37,2,221.13,20
448,2023-10-26,4,131,9,3,449.0,25
449,2024-07-10,4,130,10,1,699.0,10
450,2023-10-04,9,136,22,2,1399.0,20
451,2024-07-02,6,102,15,2,999.0,0
452,2024-08-09,3,150,7,2,129.0,0
453,2023-12-22,2,120,5,2,999.0,0
454,2024-02-25,14,118,35,2,199.9,0
455,2023-12-20,14,142,36,1,449.0,0
456,2024-04-08,15,113,39,3,3499.0,0
457,2023-11-22,11,121,27,2,1499.0,15
458,2024-01-17,7,113,17,1,3499.0,25
459,2023-10-16,15,111,38,4,149.9,0
460,2023-10-13,10,119,26,4,599.0,0
461,2023-10-22,5,122,12,2,159.9,0
462,2023-11-03,15,142,37,2,449.0,0
463,2024-08-13,11,138,27,1,2199.0,0
464,2024-03-15,3,133,8,3,1199.0,5
465,2024-03-18,13,146,34,2,89.9,15
466,2024-07-28,13,105,34,1,5499.0,0
467,2024-01-25,1,112,40,2,79.9,0
468,2024-04-23,13,102,32,2,999.0,0
469,2023-12-01,1,147,3,4,199.0,10
470,2023-09-01,9,106,23,1,52.22,5
471,2024-04-06,7,101,17,1,1899.0,0
472,2023-09-24,1,114,3,2,4899.0,5
473,2024-02-05,12,117,31,1,2299.0,10
474,2023-11-21,15,131,38,1,385.65,0
475,2023-11-29,3,135,7,1,1099.0,15
476,2023-12-30,2,106,6,1,59.9,20
477,2024-05-01,14,117,36,2,2299.0,0
478,2024-02-25,13,142,33,3,449.0,0
479,2024-01-24,10,126,24,1,2999.0,5
480,2024-07-30,15,120,38,1,999.0,5
481,2024-02-16,5,122,11,1,151.62,0
482,2023-11-03,3,137,8,1,1799.0,5
483,2023-09-20,5,131,11,3,449.0,0
484,2024-04-23,5,149,12,3,229.0,10
485,2023-09-30,7,130,17,2,699.0,25
486,2024-04-17,13,108,33,1,1499.0,0
487,2023-10-15,4,122,9,1,159.9,10
488,2024-05-17,12,140,30,1,249.0,0
489,2024-08-03,6,117,13,1,2299.0,10
490,2024-08-06,11,129,28,4,2899.0,20
491,2024-08-09,15,138,38,5,2199.0,0
492,2023-10-16,6,116,14,1,1799.0,0
493,2023-10-11,14,132,35,2,899.0,10
494,2023-09-19,9,123,22,5,449.0,0
495,2023-12-25,15,149,38,2,213.02,10
496,2023-11-05,13,135,33,1,1099.0,0
497,2024-05-26,11,107,28,1,299.0,0
498,2024-02-04,12,143,29,1,399.0,10
499,2023-12-23,5,112,11,1,69.53,0
500,11-14-2023,12,101,29,1,1899.0,25
501,2024-05-06,14,108,36,2,1499.0,5
502,2024-06-12,7,107,17,1,299.0,15
503,2024-03-30,3,147,7,1,199.0,0
504,2024-04-26,10,113,24,1,3499.0,5
505,2024-05-26,14,133,35,1,1199.0,0
506,2024-03-01,13,110,32,3,6999.0,25
507,2023-11-29,11,147,27,3,199.0,10
508,2024-03-13,4,105,10,1,5499.0,10
509,2024-05-17,8,108,18,1,1499.0,5
510,2023-09-11,14,127,35,4,2599.0,0
511,2024-07-01,7,127,16,2,2599.0,0
512,2024-08-15,4,102,10,1,999.0,25
513,2023-12-15,1,120,1,1,999.0,0
514,2024-02-01,8,143,20,1,367.21,20
515,2023-12-07,9,128,22,1,1799.0,10
516,2024-08-11,12,117,31,1,2299.0,0
517,2024-05-03,5,131,12,3,449.0,20
518,2024-05-22,10,123,25,1,423.28,0
519,2024-03-16,13,138,34,1,2199.0,0
520,2024-07-27,6,101,15,1,1899.0,5
521,2023-11-10,10,107,26,1,299.0,0
522,2023-10-06,10,126,26,1,2999.0,10
523,2024-07-16,5,140,12,1,212.36,5
524,2024-01-12,1,119,40,3,599.0,10
525,2024-07-09,14,118,35,1,199.9,10
526,2024-07-09,10,113,26,1,3499.0,5
527,2024-05-30,6,149,,1,229.0,10
528,2024-07-24,13,111,32,1,149.9,5
529,2023-12-03,6,127,14,1,2599.0,5
530,2024-04-04,6,122,13,1,159.9,5
531,2023-11-20,12,110,29,2,6999.0,0
532,2023-09-17,2,145,5,3,159.0,0
533,2023-10-19,7,123,16,1,449.0,10
534,2024-06-07,14,137,36,4,1799.0,15
535,2024-07-04,3,134,8,1,199.0,0
536,2024-06-17,12,113,29,2,3499.0,0
537,2024-02-11,6,103,13,1,2899.0,0
538,2024-02-04,15,149,37,1,229.0,0
539,2023-12-14,1,150,3,4,129.0,5
540,2023-12-14,9,114,22,3,4899.0,0
541,2024-05-18,11,148,27,2,125.03,0
542,2024-07-01,10,133,24,2,1199.0,25
543,2024-05-26,11,143,28,1,399.0,25
544,2024-05-25,1,145,2,2,159.0,25
545,2024-03-08,14,144,35,5,299.0,5
546,2023-12-10,7,125,16,1,2199.0,0
547,2024-02-20,4,132,10,5,899.0,15
548,2024-04-12,3,139,7,2,599.0,10
549,2023-11-04,9,133,23,1,1199.0,5
550,2023-09-03,3,133,8,1,1032.3,10
551,2024-01-12,10,103,25,1,2899.0,10
552,2023-10-14,5,120,11,2,999.0,10
553,2023-12-05,9,119,23,3,599.0,0
554,2024-02-27,9,108,23,1,1499.0,10
555,2024-07-04,2,122,6,1,159.9,5
556,2024-02-19,13,131,32,2,449.0,10
557,2024-08-27,13,107,33,1,282.56,0
558,2023-11-19,12,136,29,4,1399.0,10
559,2024-04-23,9,140,22,1,249.0,15
560,2024-07-26,10,115,26,1,2899.0,25
561,2023-12-03,1,150,40,2,129.0,0
562,2024-01-12,9,146,21,1,89.9,5
563,2024-08-24,1,143,1,4,399.0,10
564,2024-02-13,5,121,11,2,1499.0,10
565,2023-10-08,10,131,26,1,386.3,20
566,2024-02-23,9,111,21,1,149.9,5
567,2023-11-19,3,121,7,3,1499.0,10
568,2024-04-16,15,135,39,1,955.05,15
569,2023-09-23,9,142,22,4,449.0,5
570,2024-02-14,7,124,16,1,129.9,0
571,2024-07-10,13,143,33,2,399.0,10
572,2024-06-10,7,121,16,4,1415.81,20
573,2023-11-20,15,123,38,1,449.0,5
574,2024-08-01,1,114,1,1,4899.0,0
575,2024-08-02,14,126,35,1,2999.0,10
576,2024-08-28,10,138,24,2,2199.0,5
577,2024-06-13,1,125,1,3,2199.0,0
578,2023-11-11,2,101,4,3,1899.0,0
579,2023-12-17,10,141,26,1,499.0,0
580,2024-01-29,6,125,15,1,2199.0,15
581,2023-10-16,1,119,40,3,599.0,25
582,2023-12-22,11,122,28,1,159.9,25
583,2023-09-19,2,148,6,4,139.0,0
584,2024-01-17,15,143,38,1,399.0,5
585,2024-05-31,8,109,19,2,2299.0,5
586,2024-06-30,15,136,37,1,1399.0,15
587,2023-11-29,9,119,23,1,599.0,20
588,2023-10-05,9,114,22,1,4899.0,0
589,2024-01-03,8,140,18,1,249.0,0
590,02-02-2024,3,113,7,1,3499.0,5
591,2024-04-02,11,111,27,1,138.08,
592,2023-11-07,4,106,9,1,59.9,10
593,2024-07-11,11,105,27,2,5499.0,15
